,SNO,All lincRNA ID
0,1,ENSG00000115934
1,2,ENSG00000122043
2,3,ENSG00000122548
3,4,ENSG00000124915
4,5,ENSG00000125514
5,6,ENSG00000125899
6,7,ENSG00000129816
7,8,ENSG00000129845
8,9,ENSG00000131484
9,10,ENSG00000131538
10,11,ENSG00000132204
11,12,ENSG00000132832
12,13,ENSG00000136315
13,14,ENSG00000145063
14,15,ENSG00000146521
15,16,ENSG00000147753
16,17,ENSG00000147761
17,18,ENSG00000149656
18,19,ENSG00000152931
19,20,ENSG00000153363
20,21,ENSG00000162947
21,22,ENSG00000163364
22,23,ENSG00000164385
23,24,ENSG00000166770
24,25,ENSG00000168367
25,26,ENSG00000168746
26,27,ENSG00000170161
27,28,ENSG00000170983
28,29,ENSG00000172965
29,30,ENSG00000173862
30,31,ENSG00000175170
31,32,ENSG00000175611
32,33,ENSG00000175728
33,34,ENSG00000175746
34,35,ENSG00000175772
35,36,ENSG00000175773
36,37,ENSG00000176320
37,38,ENSG00000176515
38,39,ENSG00000176659
39,40,ENSG00000176728
40,41,ENSG00000176754
41,42,ENSG00000176840
42,43,ENSG00000177234
43,44,ENSG00000177338
44,45,ENSG00000177596
45,46,ENSG00000177757
46,47,ENSG00000177800
47,48,ENSG00000178107
48,49,ENSG00000178130
49,50,ENSG00000178243
50,51,ENSG00000178248
51,52,ENSG00000178412
52,53,ENSG00000178457
53,54,ENSG00000178734
54,55,ENSG00000178977
55,56,ENSG00000179028
56,57,ENSG00000179066
57,58,ENSG00000179082
58,59,ENSG00000179136
59,60,ENSG00000179219
60,61,ENSG00000179452
61,62,ENSG00000179523
62,63,ENSG00000179676
63,64,ENSG00000179755
64,65,ENSG00000179935
65,66,ENSG00000180066
66,67,ENSG00000180259
67,68,ENSG00000180422
68,69,ENSG00000180712
69,70,ENSG00000180861
70,71,ENSG00000180869
71,72,ENSG00000181798
72,73,ENSG00000181908
73,74,ENSG00000182057
74,75,ENSG00000182165
75,76,ENSG00000182257
76,77,ENSG00000182366
77,78,ENSG00000182586
78,79,ENSG00000182648
79,80,ENSG00000182776
80,81,ENSG00000182824
81,82,ENSG00000183146
82,83,ENSG00000183250
83,84,ENSG00000183385
84,85,ENSG00000183470
85,86,ENSG00000183643
86,87,ENSG00000183674
87,88,ENSG00000184029
88,89,ENSG00000184224
89,90,ENSG00000184274
90,91,ENSG00000184856
91,92,ENSG00000184991
92,93,ENSG00000185168
93,94,ENSG00000185186
94,95,ENSG00000185433
