,SNO,Gene ID,Transcript ID,Exon ID,Strand,Seq region Name,Exon Start,Exon End,Exon Length
0,1,ENSG00000115934,ENST00000538297,ENSE00002222490,-1,12,23251461,23251499,39
1,2,ENSG00000115934,ENST00000538297,ENSE00002300099,-1,12,23181334,23182623,1290
2,3,ENSG00000122043,ENST00000400540,ENSE00001543395,1,13,29935905,29936224,320
3,4,ENSG00000122043,ENST00000400540,ENSE00001543394,1,13,29936516,29936701,186
4,5,ENSG00000122043,ENST00000400540,ENSE00001485711,1,13,29937202,29937281,80
5,6,ENSG00000122043,ENST00000400540,ENSE00003595600,1,13,29937906,29938009,104
6,7,ENSG00000122043,ENST00000400540,ENSE00003521124,1,13,29947603,29947771,169
7,8,ENSG00000122043,ENST00000400540,ENSE00000827436,1,13,29950317,29950488,172
8,9,ENSG00000122043,ENST00000481738,ENSE00003595600,1,13,29937906,29938009,104
9,10,ENSG00000122043,ENST00000481738,ENSE00001857117,1,13,29942097,29942567,471
10,11,ENSG00000122548,ENST00000242109,ENSE00000832069,-1,7,26538406,26538788,383
11,12,ENSG00000122548,ENST00000242109,ENSE00000832068,-1,7,26533121,26537020,3900
12,13,ENSG00000124915,ENST00000536405,ENSE00002302833,-1,11,61757489,61757649,161
13,14,ENSG00000124915,ENST00000536405,ENSE00000851673,-1,11,61757083,61757363,281
14,15,ENSG00000124915,ENST00000536405,ENSE00001704895,-1,11,61755635,61755696,62
15,16,ENSG00000124915,ENST00000536405,ENSE00002202314,-1,11,61748543,61749742,1200
16,17,ENSG00000124915,ENST00000536405,ENSE00002323198,-1,11,61747351,61747463,113
17,18,ENSG00000124915,ENST00000536405,ENSE00002320258,-1,11,61746493,61747141,649
18,19,ENSG00000124915,ENST00000541891,ENSE00002293317,-1,11,61748543,61748693,151
19,20,ENSG00000124915,ENST00000541891,ENSE00002323198,-1,11,61747351,61747463,113
20,21,ENSG00000124915,ENST00000541891,ENSE00002263312,-1,11,61746925,61747123,199
21,22,ENSG00000124915,ENST00000244906,ENSE00001139910,-1,11,61757489,61757655,167
22,23,ENSG00000124915,ENST00000244906,ENSE00000851673,-1,11,61757083,61757363,281
23,24,ENSG00000124915,ENST00000244906,ENSE00001704895,-1,11,61755635,61755696,62
24,25,ENSG00000124915,ENST00000244906,ENSE00001683157,-1,11,61754029,61754445,417
25,26,ENSG00000125514,ENST00000414668,ENSE00001733298,-1,20,63036048,63036396,349
26,27,ENSG00000125514,ENST00000414668,ENSE00001174180,-1,20,63035565,63035721,157
27,28,ENSG00000125514,ENST00000414668,ENSE00001761324,-1,20,63035283,63035441,159
28,29,ENSG00000125514,ENST00000414668,ENSE00001642533,-1,20,63034217,63034668,452
29,30,ENSG00000125514,ENST00000370341,ENSE00001346988,-1,20,63036048,63037028,981
30,31,ENSG00000125514,ENST00000370341,ENSE00001174180,-1,20,63035565,63035721,157
31,32,ENSG00000125514,ENST00000370341,ENSE00001452424,-1,20,63034217,63034709,493
32,33,ENSG00000125514,ENST00000456634,ENSE00001724219,-1,20,63036048,63036353,306
33,34,ENSG00000125514,ENST00000456634,ENSE00001707063,-1,20,63034383,63034709,327
34,35,ENSG00000125899,ENST00000378252,ENSE00001476839,1,20,11027760,11027906,147
35,36,ENSG00000125899,ENST00000378252,ENSE00001476835,1,20,11028162,11028284,123
36,37,ENSG00000125899,ENST00000378252,ENSE00001476832,1,20,11029191,11029366,176
37,38,ENSG00000129816,ENST00000250776,ENSE00001756639,1,Y,6390431,6390675,245
38,39,ENSG00000129816,ENST00000250776,ENSE00001663636,1,Y,6394100,6394259,160
39,40,ENSG00000129816,ENST00000250776,ENSE00001595449,1,Y,6401123,6401231,109
40,41,ENSG00000129816,ENST00000250776,ENSE00001634261,1,Y,6403588,6403725,138
41,42,ENSG00000129816,ENST00000250776,ENSE00001767444,1,Y,6411307,6411564,258
42,43,ENSG00000129845,ENST00000250805,ENSE00001782128,-1,Y,9774045,9774289,245
43,44,ENSG00000129845,ENST00000250805,ENSE00001664883,-1,Y,9770461,9770620,160
44,45,ENSG00000129845,ENST00000250805,ENSE00001800396,-1,Y,9763489,9763597,109
45,46,ENSG00000129845,ENST00000250805,ENSE00001771159,-1,Y,9760995,9761132,138
46,47,ENSG00000129845,ENST00000250805,ENSE00001609985,-1,Y,9753156,9753413,258
47,48,ENSG00000131484,ENST00000588189,ENSE00002831453,1,17,45533963,45534303,341
48,49,ENSG00000131484,ENST00000588189,ENSE00002956318,1,17,45534505,45534710,206
49,50,ENSG00000131538,ENST00000253838,ENSE00001785382,-1,Y,22441345,22441458,114
50,51,ENSG00000131538,ENST00000253838,ENSE00003499302,-1,Y,22440989,22441126,138
51,52,ENSG00000131538,ENST00000253838,ENSE00001693495,-1,Y,22439593,22439831,239
52,53,ENSG00000132204,ENST00000584090,ENSE00001543802,-1,18,1359387,1359439,53
53,54,ENSG00000132204,ENST00000584090,ENSE00003647356,-1,18,1358726,1358760,35
54,55,ENSG00000132204,ENST00000584090,ENSE00003510692,-1,18,1278568,1278633,66
55,56,ENSG00000132204,ENST00000584090,ENSE00003640804,-1,18,1275966,1276077,112
56,57,ENSG00000132204,ENST00000584090,ENSE00003671679,-1,18,1272442,1272511,70
57,58,ENSG00000132204,ENST00000584090,ENSE00002716912,-1,18,1269687,1269852,166
58,59,ENSG00000132204,ENST00000584090,ENSE00002690696,-1,18,1254383,1255214,832
59,60,ENSG00000132204,ENST00000412816,ENSE00002709745,-1,18,1406987,1407180,194
60,61,ENSG00000132204,ENST00000412816,ENSE00002726468,-1,18,1368485,1368597,113
61,62,ENSG00000132204,ENST00000412816,ENSE00003640804,-1,18,1275966,1276077,112
62,63,ENSG00000132204,ENST00000412816,ENSE00003671679,-1,18,1272442,1272511,70
63,64,ENSG00000132204,ENST00000412816,ENSE00001668112,-1,18,1268311,1269852,1542
64,65,ENSG00000132204,ENST00000577867,ENSE00002717430,-1,18,1359387,1359650,264
65,66,ENSG00000132204,ENST00000577867,ENSE00003647356,-1,18,1358726,1358760,35
66,67,ENSG00000132204,ENST00000577867,ENSE00003671679,-1,18,1272442,1272511,70
67,68,ENSG00000132204,ENST00000577867,ENSE00002725726,-1,18,1269011,1269852,842
68,69,ENSG00000132204,ENST00000584492,ENSE00002690131,-1,18,1359387,1359590,204
69,70,ENSG00000132204,ENST00000584492,ENSE00003647356,-1,18,1358726,1358760,35
70,71,ENSG00000132204,ENST00000584492,ENSE00001664616,-1,18,1275966,1276087,122
71,72,ENSG00000132204,ENST00000584492,ENSE00001650534,-1,18,1273361,1273533,173
72,73,ENSG00000132204,ENST00000584492,ENSE00003671679,-1,18,1272442,1272511,70
73,74,ENSG00000132204,ENST00000584492,ENSE00002699332,-1,18,1269176,1269852,677
74,75,ENSG00000132204,ENST00000578835,ENSE00002726025,-1,18,1359387,1359557,171
75,76,ENSG00000132204,ENST00000578835,ENSE00003647356,-1,18,1358726,1358760,35
76,77,ENSG00000132204,ENST00000578835,ENSE00003640804,-1,18,1275966,1276077,112
77,78,ENSG00000132204,ENST00000578835,ENSE00003671679,-1,18,1272442,1272511,70
78,79,ENSG00000132204,ENST00000578835,ENSE00002715928,-1,18,1269567,1269852,286
79,80,ENSG00000132204,ENST00000581430,ENSE00002703864,-1,18,1406987,1407178,192
80,81,ENSG00000132204,ENST00000581430,ENSE00002726468,-1,18,1368485,1368597,113
81,82,ENSG00000132204,ENST00000581430,ENSE00003671679,-1,18,1272442,1272511,70
82,83,ENSG00000132204,ENST00000581430,ENSE00002715982,-1,18,1269672,1269852,181
83,84,ENSG00000132204,ENST00000582862,ENSE00002705605,-1,18,1358726,1358762,37
84,85,ENSG00000132204,ENST00000582862,ENSE00003640804,-1,18,1275966,1276077,112
85,86,ENSG00000132204,ENST00000582862,ENSE00001650534,-1,18,1273361,1273533,173
86,87,ENSG00000132204,ENST00000582862,ENSE00003671679,-1,18,1272442,1272511,70
