,SNO,Gene ID,Transcript ID,Biotype,Strand,Seq region Name,Transcript Start,Transcript End,Transcript Length,No. of Exons
0,1,ENSG00000115934,ENST00000538297,lincRNA,-1,12,23181334,23251499,1329,2
1,2,ENSG00000122043,ENST00000400540,lincRNA,1,13,29935905,29950488,1031,6
2,3,ENSG00000122043,ENST00000481738,lincRNA,1,13,29937906,29942567,575,2
3,4,ENSG00000122548,ENST00000242109,lincRNA,-1,7,26533121,26538788,4283,2
4,5,ENSG00000124915,ENST00000536405,lincRNA,-1,11,61746493,61757649,2466,6
5,6,ENSG00000124915,ENST00000541891,lincRNA,-1,11,61746925,61748693,463,3
6,7,ENSG00000124915,ENST00000244906,lincRNA,-1,11,61754029,61757655,927,4
7,8,ENSG00000125514,ENST00000414668,lincRNA,-1,20,63034217,63036396,1117,4
8,9,ENSG00000125514,ENST00000370341,lincRNA,-1,20,63034217,63037028,1631,3
9,10,ENSG00000125514,ENST00000456634,lincRNA,-1,20,63034383,63036353,633,2
10,11,ENSG00000125899,ENST00000378252,lincRNA,1,20,11027760,11029366,446,3
11,12,ENSG00000129816,ENST00000250776,lincRNA,1,Y,6390431,6411564,910,5
12,13,ENSG00000129845,ENST00000250805,lincRNA,-1,Y,9753156,9774289,910,5
13,14,ENSG00000131484,ENST00000588189,lincRNA,1,17,45533963,45534710,547,2
14,15,ENSG00000131538,ENST00000253838,lincRNA,-1,Y,22439593,22441458,491,3
15,16,ENSG00000132204,ENST00000584090,lincRNA,-1,18,1254383,1359439,1334,7
16,17,ENSG00000132204,ENST00000412816,lincRNA,-1,18,1268311,1407180,2031,5
17,18,ENSG00000132204,ENST00000577867,lincRNA,-1,18,1269011,1359650,1211,4
18,19,ENSG00000132204,ENST00000584492,lincRNA,-1,18,1269176,1359590,1281,6
19,20,ENSG00000132204,ENST00000578835,lincRNA,-1,18,1269567,1359557,674,5
20,21,ENSG00000132204,ENST00000581430,lincRNA,-1,18,1269672,1407178,556,4
21,22,ENSG00000132204,ENST00000582862,lincRNA,-1,18,1269821,1358762,424,5
22,23,ENSG00000132204,ENST00000577403,lincRNA,-1,18,1269821,1358762,251,4
23,24,ENSG00000132204,ENST00000581212,lincRNA,-1,18,1269821,1359629,721,7
24,25,ENSG00000132204,ENST00000582570,lincRNA,-1,18,1368089,1408344,607,2
25,26,ENSG00000132204,ENST00000580336,lincRNA,-1,18,1368290,1392185,408,2
26,27,ENSG00000132832,ENST00000415889,lincRNA,-1,20,44656451,44696096,1416,6
27,28,ENSG00000136315,ENST00000555624,lincRNA,1,14,20919361,20920299,337,2
28,29,ENSG00000145063,ENST00000536743,lincRNA,-1,2,11105317,11132176,1422,8
29,30,ENSG00000145063,ENST00000544306,lincRNA,-1,2,11105317,11132221,1139,5
30,31,ENSG00000145063,ENST00000447433,lincRNA,-1,2,11124219,11132770,1472,5
31,32,ENSG00000145063,ENST00000590373,lincRNA,-1,2,11124758,11132821,577,2
32,33,ENSG00000145063,ENST00000590207,lincRNA,-1,2,11128539,11132108,574,3
33,34,ENSG00000146521,ENST00000495520,lincRNA,-1,6,167784537,167796859,1652,4
34,35,ENSG00000146521,ENST00000366822,lincRNA,-1,6,167786820,167796846,1173,3
35,36,ENSG00000147753,ENST00000457100,lincRNA,1,Y,6449468,6457906,1111,6
36,37,ENSG00000147753,ENST00000276770,lincRNA,1,Y,6449468,6457906,1367,7
37,38,ENSG00000147753,ENST00000449828,lincRNA,1,Y,6453905,6457906,709,3
38,39,ENSG00000147761,ENST00000447655,lincRNA,-1,Y,9706824,9710825,709,3
39,40,ENSG00000147761,ENST00000276779,lincRNA,-1,Y,9706824,9715262,1367,7
40,41,ENSG00000147761,ENST00000415405,lincRNA,-1,Y,9706824,9715262,1111,6
41,42,ENSG00000149656,ENST00000279067,lincRNA,1,20,64290385,64303559,928,3
42,43,ENSG00000149656,ENST00000445252,lincRNA,1,20,64294897,64311371,476,3
43,44,ENSG00000149656,ENST00000425473,lincRNA,1,20,64294941,64313132,629,3
44,45,ENSG00000152931,ENST00000515734,lincRNA,1,5,60487713,60491518,2569,2
45,46,ENSG00000152931,ENST00000506884,lincRNA,1,5,60488140,60547657,2068,4
46,47,ENSG00000152931,ENST00000504876,lincRNA,1,5,60488207,60526418,5616,2
47,48,ENSG00000153363,ENST00000423222,lincRNA,1,1,211382803,211435333,3508,6
48,49,ENSG00000153363,ENST00000534914,lincRNA,1,1,211382820,211398638,1006,5
49,50,ENSG00000153363,ENST00000448567,lincRNA,1,1,211382837,211391976,478,4
50,51,ENSG00000153363,ENST00000610948,lincRNA,1,1,211399258,211432534,469,3
51,52,ENSG00000162947,ENST00000295052,lincRNA,-1,2,149767506,149859191,1832,5
52,53,ENSG00000162947,ENST00000433174,lincRNA,-1,2,149816464,149857685,556,2
53,54,ENSG00000163364,ENST00000295549,lincRNA,-1,2,176629589,176637931,1407,3
54,55,ENSG00000163364,ENST00000339037,lincRNA,-1,2,176630165,176637562,838,4
55,56,ENSG00000164385,ENST00000624527,lincRNA,-1,6,2621913,2634603,2434,3
56,57,ENSG00000166770,ENST00000588685,lincRNA,1,19,56477250,56478687,1438,1
57,58,ENSG00000166770,ENST00000586822,lincRNA,1,19,56477603,56494307,468,2
58,59,ENSG00000166770,ENST00000585445,lincRNA,1,19,56478131,56495432,1521,2
59,60,ENSG00000166770,ENST00000586091,lincRNA,1,19,56478155,56495318,678,3
60,61,ENSG00000166770,ENST00000594783,lincRNA,1,19,56478157,56494327,475,3
61,62,ENSG00000166770,ENST00000592146,lincRNA,1,19,56478183,56495441,668,3
62,63,ENSG00000166770,ENST00000588158,lincRNA,1,19,56478183,56500666,921,3
63,64,ENSG00000166770,ENST00000591797,lincRNA,1,19,56478190,56494319,535,3
64,65,ENSG00000166770,ENST00000601875,lincRNA,1,19,56478240,56494603,495,2
65,66,ENSG00000168367,ENST00000600892,lincRNA,-1,16,86331844,86337556,1532,5
66,67,ENSG00000168367,ENST00000594203,lincRNA,-1,16,86331844,86345644,2678,6
67,68,ENSG00000168367,ENST00000651755,lincRNA,-1,16,86331844,86349645,1481,5
68,69,ENSG00000168367,ENST00000601556,lincRNA,-1,16,86331850,86345679,2618,7
69,70,ENSG00000168367,ENST00000595169,lincRNA,-1,16,86337995,86349639,839,3
70,71,ENSG00000168367,ENST00000599619,lincRNA,-1,16,86338134,86349683,720,3
71,72,ENSG00000168367,ENST00000599664,lincRNA,-1,16,86338249,86349683,767,4
72,73,ENSG00000168367,ENST00000598994,lincRNA,-1,16,86338450,86349680,556,4
73,74,ENSG00000168746,ENST00000637248,lincRNA,-1,20,44436172,44450557,546,3
74,75,ENSG00000168746,ENST00000415299,lincRNA,-1,20,44448777,44450548,421,3
75,76,ENSG00000168746,ENST00000372910,lincRNA,-1,20,44448801,44465349,649,4
76,77,ENSG00000168746,ENST00000306731,lincRNA,-1,20,44451984,44465328,413,3
77,78,ENSG00000168746,ENST00000623295,lincRNA,-1,20,44461763,44465344,700,2
78,79,ENSG00000170161,ENST00000305709,lincRNA,1,9,62897449,62900104,2541,2
79,80,ENSG00000170161,ENST00000476224,lincRNA,1,9,62897452,62899770,1480,3
