,SNO,Gene ID,Transcript ID,Exon ID,Exon Start,Exon End,Exon Length
0,1,ENSG00000181908,ENST00000316124,ENSE00001235787,64449074,64449652,579
1,2,ENSG00000181908,ENST00000316124,ENSE00001235780,64449897,64451657,1761
2,3,ENSG00000197176,ENST00000316124,ENSE00001533768,97686359,97686658,300
3,4,ENSG00000197176,ENST00000316124,ENSE00001533766,97673329,97673442,114
4,5,ENSG00000197176,ENST00000316124,ENSE00001433878,97646162,97646372,211
5,6,ENSG00000197176,ENST00000316124,ENSE00001423553,97632647,97633691,1045
6,7,ENSG00000197176,ENST00000355909,ENSE00002458258,97686359,97686627,269
7,8,ENSG00000197176,ENST00000355909,ENSE00002493219,97646162,97646212,51
8,9,ENSG00000197176,ENST00000355909,ENSE00002430400,97637483,97637635,153
9,10,ENSG00000197176,ENST00000355909,ENSE00002466485,97633344,97633691,348
10,11,ENSG00000197176,ENST00000556163,ENSE00001533768,97686359,97686658,300
11,12,ENSG00000197176,ENST00000556163,ENSE00001533766,97673329,97673442,114
12,13,ENSG00000197176,ENST00000556163,ENSE00002439475,97646047,97646372,326
13,14,ENSG00000204241,ENST00000316124,ENSE00002188336,134032272,134032860,589
14,15,ENSG00000204241,ENST00000316124,ENSE00001464608,134037512,134037641,130
15,16,ENSG00000204241,ENST00000316124,ENSE00002186638,134039762,134041248,1487
16,17,ENSG00000204241,ENST00000355909,ENSE00002148678,134032387,134032860,474
17,18,ENSG00000204241,ENST00000355909,ENSE00002145271,134039762,134039830,69
18,19,ENSG00000204241,ENST00000556163,ENSE00002178443,134032652,134032860,209
19,20,ENSG00000204241,ENST00000556163,ENSE00002143365,134037512,134038975,1464
20,21,ENSG00000204241,ENST00000554197,ENSE00002169994,134032796,134032860,65
21,22,ENSG00000204241,ENST00000554197,ENSE00002147285,134039762,134040267,506
22,23,ENSG00000204241,ENST00000533922,ENSE00002177492,134032805,134032860,56
23,24,ENSG00000204241,ENST00000533922,ENSE00001464608,134037512,134037641,130
24,25,ENSG00000204241,ENST00000533922,ENSE00002166711,134039762,134040080,319
