,SNO,Index,RefSeq Gene ID,Dbxref,Name,gbkey,Biotype,Type,Seq_id,Strand,Start,End,No. of Transcripts
0,1,19,gene-MIR6859-1,"GeneID:102466751,HGNC:HGNC:50039,miRBase:MI0022705",MIR6859-1,Gene,miRNA,gene,NC_000001.11,-1,17369,17436,3
1,2,26,gene-MIR1302-2HG,"GeneID:107985730,HGNC:HGNC:52482",MIR1302-2HG,Gene,lncRNA,gene,NC_000001.11,1,29926,31295,1
2,3,31,gene-MIR1302-2,"GeneID:100302278,HGNC:HGNC:35294,miRBase:MI0006363",MIR1302-2,Gene,miRNA,gene,NC_000001.11,1,30366,30503,2
3,4,36,gene-FAM138A,"GeneID:645520,HGNC:HGNC:32334",FAM138A,Gene,lncRNA,gene,NC_000001.11,-1,34611,36081,1
4,5,141,gene-LOC729737,GeneID:729737,LOC729737,Gene,lncRNA,gene,NC_000001.11,-1,134773,140566,1
5,6,166,gene-MIR6859-2,"GeneID:102465909,HGNC:HGNC:49954,miRBase:MI0026420",MIR6859-2,Gene,miRNA,gene,NC_000001.11,-1,187891,187958,3
6,7,173,gene-LOC107985721,GeneID:107985721,LOC107985721,Gene,lncRNA,gene,NC_000001.11,1,200442,203983,1
7,8,252,gene-LOC100132287,GeneID:100132287,LOC100132287,Gene,lncRNA,gene,NC_000001.11,-1,490756,495445,1
8,9,270,gene-LOC101928626,GeneID:101928626,LOC101928626,Gene,lncRNA,gene,NC_000001.11,-1,627380,629009,1
9,10,278,gene-MIR6723,"GeneID:102465432,HGNC:HGNC:50152,miRBase:MI0022558",MIR6723,Gene,miRNA,gene,NC_000001.11,-1,632325,632413,2
10,11,332,gene-LOC100133331,GeneID:100133331,LOC100133331,Gene,lncRNA,gene,NC_000001.11,-1,725759,730351,1
11,12,354,gene-LOC107984847,GeneID:107984847,LOC107984847,Gene,lncRNA,gene,NC_000001.11,-1,735566,738953,2
12,13,365,gene-LOC107984849,GeneID:107984849,LOC107984849,Gene,lncRNA,gene,NC_000001.11,-1,739962,740334,1
13,14,370,gene-LOC100288069,GeneID:100288069,LOC100288069,Gene,lncRNA,gene,NC_000001.11,-1,764865,778688,1
14,15,379,gene-LOC105378580,GeneID:105378580,LOC105378580,Gene,lncRNA,gene,NC_000001.11,1,778742,809798,5
15,16,402,gene-FAM87B,"GeneID:400728,HGNC:HGNC:32236",FAM87B,Gene,lncRNA,gene,NC_000001.11,1,817371,819834,1
16,17,406,gene-LINC00115,"GeneID:79854,HGNC:HGNC:26211",LINC00115,Gene,lncRNA,gene,NC_000001.11,-1,826206,827522,1
17,18,409,gene-LINC01128,"GeneID:643837,HGNC:HGNC:49377",LINC01128,Gene,lncRNA,gene,NC_000001.11,1,827591,859446,6
18,19,443,gene-LOC107984850,GeneID:107984850,LOC107984850,Gene,lncRNA,gene,NC_000001.11,1,860185,868202,2
