,SNO,Gene ID,Transcript ID,Exon ID,Exon Start,Exon End,Exon Length
0,1,ENSG00000124915,ENST00000536405,ENSE00002302833,61757489,61757649,161
1,2,ENSG00000124915,ENST00000536405,ENSE00000851673,61757083,61757363,281
2,3,ENSG00000124915,ENST00000536405,ENSE00001704895,61755635,61755696,62
3,4,ENSG00000124915,ENST00000536405,ENSE00002202314,61748543,61749742,1200
4,5,ENSG00000124915,ENST00000536405,ENSE00002323198,61747351,61747463,113
5,6,ENSG00000124915,ENST00000536405,ENSE00002320258,61746493,61747141,649
6,7,ENSG00000124915,ENST00000541891,ENSE00002293317,61748543,61748693,151
7,8,ENSG00000124915,ENST00000541891,ENSE00002323198,61747351,61747463,113
8,9,ENSG00000124915,ENST00000541891,ENSE00002263312,61746925,61747123,199
9,10,ENSG00000124915,ENST00000244906,ENSE00001139910,61757489,61757655,167
10,11,ENSG00000124915,ENST00000244906,ENSE00000851673,61757083,61757363,281
11,12,ENSG00000124915,ENST00000244906,ENSE00001704895,61755635,61755696,62
12,13,ENSG00000124915,ENST00000244906,ENSE00001683157,61754029,61754445,417
13,14,ENSG00000175773,ENST00000536405,ENSE00003422645,130314993,130315115,123
14,15,ENSG00000175773,ENST00000536405,ENSE00003441183,130368894,130369042,149
15,16,ENSG00000175773,ENST00000536405,ENSE00003309920,130393495,130393596,102
16,17,ENSG00000175773,ENST00000536405,ENSE00002520534,130393719,130393799,81
17,18,ENSG00000175773,ENST00000536405,ENSE00003754886,130401010,130401087,78
18,19,ENSG00000175773,ENST00000536405,ENSE00003720618,130401788,130403017,1230
19,20,ENSG00000175773,ENST00000541891,ENSE00003069605,130315028,130315115,88
20,21,ENSG00000175773,ENST00000541891,ENSE00002237432,130323914,130324061,148
21,22,ENSG00000175773,ENST00000541891,ENSE00003105678,130333864,130333970,107
22,23,ENSG00000175773,ENST00000541891,ENSE00003441183,130368894,130369042,149
23,24,ENSG00000175773,ENST00000541891,ENSE00003309920,130393495,130393596,102
24,25,ENSG00000175773,ENST00000541891,ENSE00002189987,130393719,130393793,75
25,26,ENSG00000175773,ENST00000244906,ENSE00003437547,130315039,130315115,77
26,27,ENSG00000175773,ENST00000244906,ENSE00003324100,130315328,130315447,120
27,28,ENSG00000175773,ENST00000244906,ENSE00003284692,130315551,130315683,133
28,29,ENSG00000175773,ENST00000602376,ENSE00003841098,130315059,130315115,57
29,30,ENSG00000175773,ENST00000602376,ENSE00003441183,130368894,130369042,149
30,31,ENSG00000175773,ENST00000602376,ENSE00003309920,130393495,130393596,102
31,32,ENSG00000175773,ENST00000602376,ENSE00002520534,130393719,130393799,81
32,33,ENSG00000175773,ENST00000602376,ENSE00003754886,130401010,130401087,78
33,34,ENSG00000175773,ENST00000602376,ENSE00003732285,130403301,130403657,357
34,35,ENSG00000175773,ENST00000532116,ENSE00003732714,130401902,130401957,56
35,36,ENSG00000175773,ENST00000532116,ENSE00003732285,130403301,130403657,357
36,37,ENSG00000176320,ENST00000536405,ENSE00001616800,158203793,158203877,85
37,38,ENSG00000176320,ENST00000536405,ENSE00001797719,158197922,158199835,1914
38,39,ENSG00000203334,ENST00000536405,ENSE00003746497,108957718,108959797,2080
39,40,ENSG00000203334,ENST00000541891,ENSE00001514126,108957718,108959183,1466
40,41,ENSG00000203334,ENST00000541891,ENSE00001441031,108959186,108959254,69
41,42,ENSG00000203334,ENST00000541891,ENSE00001441030,108959256,108959796,541
42,43,ENSG00000203434,ENST00000536405,ENSE00001795448,108561677,108561815,139
43,44,ENSG00000203434,ENST00000536405,ENSE00001643786,108549905,108549957,53
44,45,ENSG00000203434,ENST00000536405,ENSE00001441260,108547975,108548357,383
45,46,ENSG00000203496,ENST00000536405,ENSE00002503153,38453181,38453530,350
46,47,ENSG00000203496,ENST00000536405,ENSE00002489666,38457681,38457849,169
47,48,ENSG00000203496,ENST00000536405,ENSE00001786977,38465969,38466176,208
48,49,ENSG00000203565,ENST00000536405,ENSE00001610322,33684755,33685181,427
49,50,ENSG00000203565,ENST00000536405,ENSE00001770024,33687040,33687064,25
50,51,ENSG00000203605,ENST00000536405,ENSE00001669891,63139250,63139497,248
51,52,ENSG00000203605,ENST00000536405,ENSE00001766038,63159036,63159203,168
52,53,ENSG00000203605,ENST00000536405,ENSE00001614359,63162747,63163153,407
53,54,ENSG00000203620,ENST00000536405,ENSE00001620615,31855441,31855568,128
54,55,ENSG00000203620,ENST00000536405,ENSE00001738984,31842019,31844147,2129
55,56,ENSG00000213062,ENST00000536405,ENSE00001510694,169486076,169486986,911
56,57,ENSG00000214797,ENST00000536405,ENSE00001535929,59283962,59284033,72
57,58,ENSG00000214797,ENST00000536405,ENSE00002321744,59268876,59271608,2733
58,59,ENSG00000223344,ENST00000536405,ENSE00001610300,191866820,191866960,141
59,60,ENSG00000223344,ENST00000536405,ENSE00001687496,191858707,191859180,474
60,61,ENSG00000223344,ENST00000541891,ENSE00001604518,191890065,191890229,165
61,62,ENSG00000223344,ENST00000541891,ENSE00001641828,191858763,191859180,418
62,63,ENSG00000223432,ENST00000536405,ENSE00001781186,121615771,121615839,69
63,64,ENSG00000223432,ENST00000536405,ENSE00001628700,121615425,121615665,241
64,65,ENSG00000223462,ENST00000536405,ENSE00001653550,44937508,44937675,168
65,66,ENSG00000223462,ENST00000536405,ENSE00001790993,44955469,44955725,257
66,67,ENSG00000223470,ENST00000536405,ENSE00001766780,33909238,33909322,85
67,68,ENSG00000223470,ENST00000536405,ENSE00001654034,33909415,33909498,84
68,69,ENSG00000223470,ENST00000536405,ENSE00001689996,33910279,33910413,135
69,70,ENSG00000223470,ENST00000536405,ENSE00001760715,33912768,33912833,66
70,71,ENSG00000223470,ENST00000536405,ENSE00001645316,33917544,33917804,261
71,72,ENSG00000223643,ENST00000536405,ENSE00001763046,16852762,16852799,38
72,73,ENSG00000223643,ENST00000536405,ENSE00001621438,16852075,16852369,295
73,74,ENSG00000223643,ENST00000536405,ENSE00001747863,16851257,16851477,221
74,75,ENSG00000223643,ENST00000541891,ENSE00001702600,16852997,16853129,133
75,76,ENSG00000223643,ENST00000541891,ENSE00001621438,16852075,16852369,295
76,77,ENSG00000223643,ENST00000541891,ENSE00001761114,16851574,16851723,150
77,78,ENSG00000223643,ENST00000541891,ENSE00001649905,16851321,16851477,157
78,79,ENSG00000223649,ENST00000536405,ENSE00001747286,211492255,211492423,169
79,80,ENSG00000223649,ENST00000536405,ENSE00001630423,211492596,211492917,322
80,81,ENSG00000223675,ENST00000536405,ENSE00001714379,94591334,94592297,964
81,82,ENSG00000223675,ENST00000536405,ENSE00001806671,94585556,94586762,1207
82,83,ENSG00000223720,ENST00000536405,ENSE00003785424,48172972,48173219,248
83,84,ENSG00000223720,ENST00000536405,ENSE00003774076,48198076,48198197,122
84,85,ENSG00000223720,ENST00000536405,ENSE00001778216,48205968,48206051,84
85,86,ENSG00000223720,ENST00000536405,ENSE00001649699,48206146,48206294,149
86,87,ENSG00000223720,ENST00000536405,ENSE00001635215,48206810,48206857,48
87,88,ENSG00000223761,ENST00000536405,ENSE00001674405,87605994,87606024,31
88,89,ENSG00000223761,ENST00000536405,ENSE00001738301,87591607,87591743,137
89,90,ENSG00000223800,ENST00000536405,ENSE00001592201,55468327,55468496,170
90,91,ENSG00000223800,ENST00000536405,ENSE00001720389,55469077,55469222,146
91,92,ENSG00000223808,ENST00000536405,ENSE00001666537,8970125,8970272,148
92,93,ENSG00000223808,ENST00000536405,ENSE00001747623,8972940,8973468,529
93,94,ENSG00000223814,ENST00000536405,ENSE00001773817,47765290,47765547,258
94,95,ENSG00000223814,ENST00000536405,ENSE00001628376,47761132,47761280,149
95,96,ENSG00000223834,ENST00000536405,ENSE00003832042,31602862,31603319,458
96,97,ENSG00000223834,ENST00000536405,ENSE00003836790,31604256,31604414,159
97,98,ENSG00000223834,ENST00000536405,ENSE00003835512,31604631,31604727,97
98,99,ENSG00000223834,ENST00000536405,ENSE00003832013,31605926,31606214,289
99,100,ENSG00000223834,ENST00000541891,ENSE00001676147,31604600,31604727,128
100,101,ENSG00000223834,ENST00000541891,ENSE00001783913,31605926,31606218,293
101,102,ENSG00000223842,ENST00000536405,ENSE00001747777,219225312,219225497,186
102,103,ENSG00000223842,ENST00000536405,ENSE00001793926,219222248,219223187,940
103,104,ENSG00000223881,ENST00000536405,ENSE00001613687,198598766,198598868,103
104,105,ENSG00000223881,ENST00000536405,ENSE00001696110,198597724,198597983,260
105,106,ENSG00000223906,ENST00000536405,ENSE00001726867,100344477,100344592,116
106,107,ENSG00000223906,ENST00000536405,ENSE00001651557,100344892,100345242,351
107,108,ENSG00000223944,ENST00000536405,ENSE00001616978,37324990,37325100,111
108,109,ENSG00000223944,ENST00000536405,ENSE00001660759,37276138,37276259,122
109,110,ENSG00000223944,ENST00000536405,ENSE00001786269,37270456,37270602,147
110,111,ENSG00000223944,ENST00000536405,ENSE00001719481,37262739,37262954,216
111,112,ENSG00000224000,ENST00000536405,ENSE00001805970,172906900,172907252,353
112,113,ENSG00000224000,ENST00000536405,ENSE00001634337,172907380,172907684,305
113,114,ENSG00000224023,ENST00000536405,ENSE00002170407,125719422,125719460,39
114,115,ENSG00000224023,ENST00000536405,ENSE00001696507,125709498,125709567,70
115,116,ENSG00000224023,ENST00000536405,ENSE00001652144,125707401,125707759,359
116,117,ENSG00000224023,ENST00000536405,ENSE00003665513,125707052,125707200,149
117,118,ENSG00000224023,ENST00000536405,ENSE00002159029,125700436,125700582,147
118,119,ENSG00000224023,ENST00000541891,ENSE00001665405,125707401,125707549,149
119,120,ENSG00000224023,ENST00000541891,ENSE00003665513,125707052,125707200,149
120,121,ENSG00000224023,ENST00000541891,ENSE00001763350,125704187,125704215,29
121,122,ENSG00000224023,ENST00000541891,ENSE00001602994,125700437,125700555,119
122,123,ENSG00000224023,ENST00000244906,ENSE00001623924,125719422,125719566,145
123,124,ENSG00000224023,ENST00000244906,ENSE00001712535,125711474,125711588,115
124,125,ENSG00000224023,ENST00000244906,ENSE00001696507,125709498,125709567,70
125,126,ENSG00000224023,ENST00000244906,ENSE00001652144,125707401,125707759,359
126,127,ENSG00000224023,ENST00000244906,ENSE00001742858,125705290,125707200,1911
127,128,ENSG00000224023,ENST00000602376,ENSE00002147897,125719422,125719546,125
128,129,ENSG00000224023,ENST00000602376,ENSE00001696507,125709498,125709567,70
129,130,ENSG00000224023,ENST00000602376,ENSE00002177139,125707237,125707759,523
130,131,ENSG00000224023,ENST00000532116,ENSE00002188310,125719496,125719524,29
131,132,ENSG00000224023,ENST00000532116,ENSE00002168582,125707302,125707759,458
132,133,ENSG00000224023,ENST00000602310,ENSE00002169354,125719422,125719448,27
133,134,ENSG00000224023,ENST00000602310,ENSE00002151749,125709006,125709567,562
134,135,ENSG00000224174,ENST00000536405,ENSE00001641392,16520694,16520787,94
135,136,ENSG00000224174,ENST00000536405,ENSE00001677405,16521564,16521796,233
136,137,ENSG00000224228,ENST00000536405,ENSE00001651032,172775905,172776127,223
137,138,ENSG00000224228,ENST00000536405,ENSE00001742115,173004282,173004435,154
138,139,ENSG00000224228,ENST00000536405,ENSE00001623982,173016313,173016524,212
139,140,ENSG00000224228,ENST00000536405,ENSE00001701049,173023498,173023573,76
140,141,ENSG00000224228,ENST00000536405,ENSE00001778280,173063873,173064015,143
141,142,ENSG00000224260,ENST00000536405,ENSE00001720313,209567536,209567673,138
142,143,ENSG00000224260,ENST00000536405,ENSE00001661698,209566912,209566987,76
143,144,ENSG00000224260,ENST00000536405,ENSE00001645210,209546057,209546139,83
144,145,ENSG00000224260,ENST00000536405,ENSE00001611966,209541308,209541429,122
145,146,ENSG00000224260,ENST00000536405,ENSE00001593309,209540698,209540788,91
146,147,ENSG00000224260,ENST00000536405,ENSE00001616103,209531247,209531374,128
147,148,ENSG00000224260,ENST00000536405,ENSE00001775788,209528455,209528679,225
148,149,ENSG00000224260,ENST00000541891,ENSE00001664827,209547492,209547580,89
149,150,ENSG00000224260,ENST00000541891,ENSE00001594008,209546013,209546139,127
150,151,ENSG00000224260,ENST00000541891,ENSE00001752777,209542846,209542918,73
151,152,ENSG00000224260,ENST00000541891,ENSE00001611966,209541308,209541429,122
152,153,ENSG00000224260,ENST00000541891,ENSE00001593309,209540698,209540788,91
153,154,ENSG00000224260,ENST00000541891,ENSE00001773179,209528541,209528679,139
154,155,ENSG00000224326,ENST00000536405,ENSE00001702552,80584290,80584363,74
155,156,ENSG00000224326,ENST00000536405,ENSE00001740314,80534978,80535252,275
