,SNO,Gene ID,Transcript ID,Transcript Start,Transcript End,Transcript Length,No. of Exons
0,1,ENSG00000181908,ENST00000316124,64449074,64451657,2340,2
1,2,ENSG00000197176,ENST00000355909,97632647,97686658,1670,4
2,3,ENSG00000197176,ENST00000556163,97633344,97686627,821,4
3,4,ENSG00000197176,ENST00000554197,97646047,97686658,740,3
4,5,ENSG00000204241,ENST00000533922,134032272,134041248,2206,3
5,6,ENSG00000204241,ENST00000532706,134032387,134039830,543,2
6,7,ENSG00000204241,ENST00000529070,134032652,134038975,1673,2
7,8,ENSG00000204241,ENST00000533091,134032796,134040267,571,2
8,9,ENSG00000204241,ENST00000527712,134032805,134046849,594,4
9,10,ENSG00000204241,ENST00000531938,134037109,134039939,711,2
10,11,ENSG00000204241,ENST00000532327,134038643,134041248,1761,2
11,12,ENSG00000204362,ENST00000412427,17189783,17197617,4676,3
12,13,ENSG00000204362,ENST00000634972,17189789,17196387,590,4
13,14,ENSG00000204754,ENST00000377300,174919082,174995513,1925,3
14,15,ENSG00000205015,ENST00000378340,89166383,89169147,1326,3
15,16,ENSG00000205106,ENST00000378779,45771432,45772358,649,2
16,17,ENSG00000205632,ENST00000380981,48866770,48898386,4015,7
17,18,ENSG00000205634,ENST00000380990,47621043,47631569,4185,6
18,19,ENSG00000205634,ENST00000609786,47625230,47629902,1248,3
19,20,ENSG00000205634,ENST00000610069,47625235,47629902,1114,3
20,21,ENSG00000212743,ENST00000391437,6350316,6352762,2447,1
21,22,ENSG00000214043,ENST00000544759,126442481,126458301,742,5
22,23,ENSG00000214043,ENST00000397346,126442481,126472790,2458,12
23,24,ENSG00000214043,ENST00000539969,126442526,126469806,1802,11
24,25,ENSG00000214043,ENST00000545767,126442526,126469806,1563,10
25,26,ENSG00000214043,ENST00000540774,126444881,126469806,1442,8
26,27,ENSG00000215244,ENST00000399868,6277687,6335982,3086,7
27,28,ENSG00000218357,ENST00000405369,47461299,47487111,984,3
28,29,ENSG00000218357,ENST00000481625,47463467,47487088,465,2
29,30,ENSG00000223381,ENST00000421481,108710518,108839363,480,3
30,31,ENSG00000223581,ENST00000420049,7097152,7097675,436,2
31,32,ENSG00000223993,ENST00000444137,85431943,85432515,403,2
32,33,ENSG00000224164,ENST00000453179,24742302,24751921,555,3
33,34,ENSG00000224164,ENST00000423504,24749067,24751689,209,2
34,35,ENSG00000224173,ENST00000433065,67562067,67574044,1008,6
35,36,ENSG00000224190,ENST00000446589,128912879,128916271,450,5
36,37,ENSG00000224222,ENST00000427247,69994626,70007836,524,3
37,38,ENSG00000224265,ENST00000451438,43323665,43327932,391,3
38,39,ENSG00000224535,ENST00000439570,212466816,212467743,359,2
39,40,ENSG00000224565,ENST00000437920,47391929,47412327,750,4
40,41,ENSG00000224711,ENST00000455299,7347467,7367632,748,3
41,42,ENSG00000224714,ENST00000425902,64901136,64924518,2572,2
42,43,ENSG00000224788,ENST00000429539,10058722,10063502,575,4
43,44,ENSG00000224893,ENST00000456715,152794496,152831913,442,3
44,45,ENSG00000224893,ENST00000417654,152804753,152805128,244,2
45,46,ENSG00000224893,ENST00000652681,152830497,152875989,811,4
46,47,ENSG00000224943,ENST00000412932,159466321,159483376,853,3
47,48,ENSG00000224977,ENST00000424181,174022509,174022985,335,2
48,49,ENSG00000225334,ENST00000651912,224766352,224773340,1314,3
49,50,ENSG00000225334,ENST00000416908,224766900,224773341,423,2
50,51,ENSG00000225413,ENST00000432249,23512494,23513602,477,2
51,52,ENSG00000225657,ENST00000434176,56577563,56596126,698,6
52,53,ENSG00000225657,ENST00000437350,56596310,56598621,298,2
53,54,ENSG00000225759,ENST00000457816,37619298,37623119,543,3
54,55,ENSG00000225768,ENST00000447860,104474939,104480274,1013,3
55,56,ENSG00000225857,ENST00000434447,180906651,180909166,543,4
56,57,ENSG00000225857,ENST00000422858,180907801,180908942,444,4
57,58,ENSG00000225930,ENST00000648232,30195809,30217552,1148,3
58,59,ENSG00000225930,ENST00000562624,30196036,30214540,4260,3
59,60,ENSG00000225930,ENST00000455163,30210408,30210806,399,1
60,61,ENSG00000225948,ENST00000448835,6618716,6625346,500,4
61,62,ENSG00000226005,ENST00000648503,3912027,3935808,705,4
62,63,ENSG00000226005,ENST00000432452,3934519,3935813,591,2
63,64,ENSG00000226133,ENST00000635446,48050659,48091736,743,6
64,65,ENSG00000226133,ENST00000456803,48053545,48056776,513,4
65,66,ENSG00000226133,ENST00000439795,48054209,48067201,789,3
66,67,ENSG00000226140,ENST00000434386,16278701,16289048,435,3
67,68,ENSG00000226140,ENST00000417542,16278701,16295858,458,4
68,69,ENSG00000226203,ENST00000449316,25955812,25969288,4604,4
69,70,ENSG00000226412,ENST00000457848,33578931,33600040,862,4
70,71,ENSG00000226581,ENST00000450544,63900823,63917994,637,4
71,72,ENSG00000226676,ENST00000429070,79628757,79632188,606,3
72,73,ENSG00000226676,ENST00000421256,79630755,79632186,385,2
73,74,ENSG00000226741,ENST00000426467,27310651,27317456,5052,2
74,75,ENSG00000226762,ENST00000417149,3232388,3257932,2361,7
75,76,ENSG00000226822,ENST00000419428,108040263,108074519,734,5
76,77,ENSG00000226822,ENST00000634635,108050379,108076020,2439,5
77,78,ENSG00000226822,ENST00000635340,108050381,108072022,894,2
78,79,ENSG00000226822,ENST00000634935,108059044,108074518,834,4
79,80,ENSG00000226822,ENST00000451023,108072371,108074493,428,2
80,81,ENSG00000226828,ENST00000440494,243917402,244047317,1799,12
81,82,ENSG00000227016,ENST00000418078,72765031,72791282,1382,7
82,83,ENSG00000227082,ENST00000417218,121396754,121463129,3662,2
